step 21 | loss: 11.1247 | tok/sec:   3957.83
step 31 | loss: 9.1221 | tok/sec:   3963.77
step 41 | loss: 7.6320 | tok/sec:   3889.50
step 51 | loss: 7.5606 | tok/sec:   3949.57
step 61 | loss: 7.5634 | tok/sec:   3936.12
step 71 | loss: 6.6974 | tok/sec:   3789.67
step 81 | loss: 7.0474 | tok/sec:   3935.37
step 91 | loss: 6.8651 | tok/sec:   3861.88
step 101 | loss: 6.4696 | tok/sec:   3691.60
step 111 | loss: 6.7538 | tok/sec:   3923.30
step 121 | loss: 6.6102 | tok/sec:   3945.23
step 131 | loss: 5.8926 | tok/sec:   3926.46
step 141 | loss: 5.9029 | tok/sec:   3704.45
step 151 | loss: 6.5962 | tok/sec:   3936.81
step 161 | loss: 6.1502 | tok/sec:   3950.42
step 171 | loss: 6.2273 | tok/sec:   3715.69
step 181 | loss: 6.3172 | tok/sec:   3898.71
step 191 | loss: 6.2411 | tok/sec:   3959.49
step 201 | loss: 5.4913 | tok/sec:   3940.90
step 211 | loss: 5.8793 | tok/sec:   3480.55
step 221 | loss: 5.9036 | tok/sec:   3910.39
step 231 | loss: 5.7191 | tok/sec:   3953.69
step 241 | loss: 5.8910 | tok/sec:   3691.93
step 251 | loss: 5.4443 | tok/sec:   3923.56
step 261 | loss: 4.7705 | tok/sec:   3916.88
step 271 | loss: 5.6014 | tok/sec:   3892.87
step 281 | loss: 5.5965 | tok/sec:   3849.66
step 291 | loss: 5.1771 | tok/sec:   3946.05
step 301 | loss: 4.9667 | tok/sec:   3861.18
step 311 | loss: 5.1675 | tok/sec:   3944.52
step 321 | loss: 5.5221 | tok/sec:   3672.69
step 331 | loss: 5.7682 | tok/sec:   3845.35
step 341 | loss: 5.1341 | tok/sec:   3960.07
step 351 | loss: 5.3095 | tok/sec:   3948.14
step 361 | loss: 5.1473 | tok/sec:   3684.01
step 371 | loss: 5.0116 | tok/sec:   3900.07
step 381 | loss: 4.7338 | tok/sec:   3674.71
step 391 | loss: 4.5982 | tok/sec:   3949.57
step 401 | loss: 5.2272 | tok/sec:   3652.01
step 411 | loss: 5.4040 | tok/sec:   3926.30
step 421 | loss: 5.0039 | tok/sec:   3903.41
step 431 | loss: 4.6145 | tok/sec:   3623.25
step 441 | loss: 5.1151 | tok/sec:   3657.82
step 451 | loss: 4.6081 | tok/sec:   3668.46
step 461 | loss: 4.8935 | tok/sec:   3724.16
step 471 | loss: 4.9651 | tok/sec:   3855.17
step 481 | loss: 4.8794 | tok/sec:   3950.77
step 491 | loss: 5.1806 | tok/sec:   3903.84
step 501 | loss: 4.8969 | tok/sec:   3454.01
step 511 | loss: 5.0405 | tok/sec:   3963.93
step 521 | loss: 4.5637 | tok/sec:   3916.68
step 531 | loss: 4.5778 | tok/sec:   3708.76
step 541 | loss: 5.0522 | tok/sec:   3928.96
step 551 | loss: 4.6355 | tok/sec:   3960.33
step 561 | loss: 4.8721 | tok/sec:   3949.15
step 571 | loss: 4.8707 | tok/sec:   3931.13
step 581 | loss: 4.9291 | tok/sec:   3804.71
step 591 | loss: 5.1922 | tok/sec:   3900.93
step 601 | loss: 4.7085 | tok/sec:   3835.88
step 611 | loss: 5.1361 | tok/sec:   3956.47
step 621 | loss: 5.0372 | tok/sec:   3838.73
step 631 | loss: 4.5425 | tok/sec:   3943.85
step 641 | loss: 4.6489 | tok/sec:   3966.10
step 651 | loss: 5.0837 | tok/sec:   3645.71
step 661 | loss: 4.9321 | tok/sec:   3833.14
step 671 | loss: 4.2792 | tok/sec:   3944.16
step 681 | loss: 4.7164 | tok/sec:   3938.51
step 691 | loss: 4.6638 | tok/sec:   3848.54
