step 21 | loss: 11.1206 | tok/sec:   3700.53
step 31 | loss: 9.1288 | tok/sec:   3928.61
step 41 | loss: 7.6156 | tok/sec:   3951.03
step 51 | loss: 7.5369 | tok/sec:   3933.25
step 61 | loss: 7.5539 | tok/sec:   3940.23
step 71 | loss: 6.7315 | tok/sec:   3960.98
step 81 | loss: 7.0393 | tok/sec:   3943.94
step 91 | loss: 6.8723 | tok/sec:   3936.78
step 101 | loss: 6.4995 | tok/sec:   3905.71
step 111 | loss: 6.8475 | tok/sec:   3939.77
step 121 | loss: 6.6368 | tok/sec:   3933.82
step 131 | loss: 6.0219 | tok/sec:   3942.20
step 141 | loss: 5.9755 | tok/sec:   3905.20
step 151 | loss: 6.6152 | tok/sec:   3910.71
step 161 | loss: 6.2110 | tok/sec:   3911.97
step 171 | loss: 6.2872 | tok/sec:   3627.93
step 181 | loss: 6.3806 | tok/sec:   3942.39
step 191 | loss: 6.3010 | tok/sec:   3900.14
step 201 | loss: 5.5293 | tok/sec:   3908.64
step 211 | loss: 5.9198 | tok/sec:   3651.53
step 221 | loss: 5.9680 | tok/sec:   3782.68
step 231 | loss: 5.7483 | tok/sec:   3884.56
step 241 | loss: 5.9197 | tok/sec:   3918.66
step 251 | loss: 5.4553 | tok/sec:   3936.37
step 261 | loss: 4.7990 | tok/sec:   3935.67
step 271 | loss: 5.6292 | tok/sec:   3979.95
step 281 | loss: 5.6193 | tok/sec:   3780.20
step 291 | loss: 5.1991 | tok/sec:   3841.24
step 301 | loss: 4.9617 | tok/sec:   3946.32
step 311 | loss: 5.1814 | tok/sec:   3931.50
step 321 | loss: 5.5142 | tok/sec:   3877.55
step 331 | loss: 5.7842 | tok/sec:   3928.29
step 341 | loss: 5.1560 | tok/sec:   3688.71
step 351 | loss: 5.3127 | tok/sec:   3873.81
step 361 | loss: 5.1710 | tok/sec:   3921.62
step 371 | loss: 5.0362 | tok/sec:   3841.74
step 381 | loss: 4.7644 | tok/sec:   3942.62
step 391 | loss: 4.6392 | tok/sec:   3941.71
step 401 | loss: 5.2685 | tok/sec:   3865.61
step 411 | loss: 5.4093 | tok/sec:   3898.67
step 421 | loss: 5.0105 | tok/sec:   3907.36
step 431 | loss: 4.6432 | tok/sec:   3830.33
step 441 | loss: 5.1306 | tok/sec:   3953.13
step 451 | loss: 4.6007 | tok/sec:   3930.79
step 461 | loss: 4.9131 | tok/sec:   3761.61
step 471 | loss: 4.9815 | tok/sec:   3704.82
step 481 | loss: 4.9256 | tok/sec:   3878.64
step 491 | loss: 5.1978 | tok/sec:   3837.39
step 501 | loss: 4.8834 | tok/sec:   3736.09
step 511 | loss: 5.0402 | tok/sec:   3930.19
step 521 | loss: 4.6028 | tok/sec:   3710.10
step 531 | loss: 4.6029 | tok/sec:   3966.15
step 541 | loss: 5.0379 | tok/sec:   3926.28
step 551 | loss: 4.6227 | tok/sec:   3899.27
step 561 | loss: 4.8991 | tok/sec:   3936.06
step 571 | loss: 4.8768 | tok/sec:   3932.91
step 581 | loss: 4.9234 | tok/sec:   3926.69
step 591 | loss: 5.2194 | tok/sec:   3652.69
step 601 | loss: 4.7268 | tok/sec:   3766.18
step 611 | loss: 5.1759 | tok/sec:   3868.71
step 621 | loss: 5.0571 | tok/sec:   3933.60
step 631 | loss: 4.5237 | tok/sec:   3936.62
step 641 | loss: 4.6597 | tok/sec:   3946.16
step 651 | loss: 5.1087 | tok/sec:   3855.56
step 661 | loss: 4.9572 | tok/sec:   3642.68
step 671 | loss: 4.2969 | tok/sec:   3880.04
step 681 | loss: 4.7680 | tok/sec:   3753.41
step 691 | loss: 4.6571 | tok/sec:   3826.49
