step: 11, | oss=: 2.5088 |tok/sec=: 93.6,
step: 12, | oss=: 2.5813 |tok/sec=: 111.9,
step: 13, | oss=: 2.4344 |tok/sec=: 284.0,
step: 14, | oss=: 2.6121 |tok/sec=: 633.7,
step: 15, | oss=: 2.5705 |tok/sec=: 629.2,
step: 16, | oss=: 2.5728 |tok/sec=: 115.0,
step: 17, | oss=: 2.6277 |tok/sec=: 285.1,
step: 18, | oss=: 2.6169 |tok/sec=: 620.0,
step: 19, | oss=: 2.6050 |tok/sec=: 619.0,
step: 20, | oss=: 2.4883 |tok/sec=: 111.4,
step: 21, | oss=: 2.4371 |tok/sec=: 279.6,
step: 22, | oss=: 2.3999 |tok/sec=: 615.3,
step: 23, | oss=: 2.4776 |tok/sec=: 458.7,
step: 24, | oss=: 2.3028 |tok/sec=: 06.7,
step: 25, | oss=: 2.3716 |tok/sec=: 280.8,
step: 26, | oss=: 2.3934 |tok/sec=: 318.6,
step: 27, | oss=: 2.3871 |tok/sec=: 315.8,
step: 28, | oss=: 2.2284 |tok/sec=: 57.0,
step: 29, | oss=: 2.2665 |tok/sec=: 243.7,
step: 30, | oss=: 2.4139 |tok/sec=: 288.1,
step: 31, | oss=: 2.2792 |tok/sec=: 315.7,
step: 32, | oss=: 2.2904 |tok/sec=: 51.6,
step: 33, | oss=: 2.1325 |tok/sec=: 256.8,
step: 34, | oss=: 2.1136 |tok/sec=: 332.4,
step: 35, | oss=: 2.0239 |tok/sec=: 333.1,
step: 36, | oss=: 2.4109 |tok/sec=: 04.7,
step: 37, | oss=: 2.0128 |tok/sec=: 249.0,
step: 38, | oss=: 2.1210 |tok/sec=: 317.1,
step: 39, | oss=: 2.2517 |tok/sec=: 310.7,
step: 40, | oss=: 2.1867 |tok/sec=: 51.3,
step: 41, | oss=: 2.0560 |tok/sec=: 242.8,
step: 42, | oss=: 1.7771 |tok/sec=: 315.7,
step: 43, | oss=: 1.9167 |tok/sec=: 316.0,
step: 44, | oss=: 2.1951 |tok/sec=: 65.9,
step: 45, | oss=: 1.6519 |tok/sec=: 256.2,
step: 46, | oss=: 1.9027 |tok/sec=: 333.8,
step: 47, | oss=: 1.9960 |tok/sec=: 333.4,
step: 48, | oss=: 1.9602 |tok/sec=: 69.1,
step: 49, | oss=: 1.8449 |tok/sec=: 248.5,
step: 50, | oss=: 1.6646 |tok/sec=: 316.8,
step: 51, | oss=: 2.0301 |tok/sec=: 318.5,
step: 52, | oss=: 1.9716 |tok/sec=: 59.9,
step: 53, | oss=: 1.5990 |tok/sec=: 189.2,
step: 54, | oss=: 1.5131 |tok/sec=: 520.4,
step: 55, | oss=: 1.7994 |tok/sec=: 524.6,
step: 56, | oss=: 1.4837 |tok/sec=: 060.2,
step: 57, | oss=: 1.5050 |tok/sec=: 280.6,
step: 58, | oss=: 1.7467 |tok/sec=: 637.1,
step: 59, | oss=: 1.7649 |tok/sec=: 478.9,
step: 60, | oss=: 1.4707 |tok/sec=: 63.4,
step: 61, | oss=: 0.9892 |tok/sec=: 269.8,
step: 62, | oss=: 1.1578 |tok/sec=: 627.6,
step: 63, | oss=: 1.1338 |tok/sec=: 626.4,
step: 64, | oss=: 1.8001 |tok/sec=: 111.4,
step: 65, | oss=: 0.9651 |tok/sec=: 280.4,
step: 66, | oss=: 1.1051 |tok/sec=: 624.9,
step: 67, | oss=: 0.9871 |tok/sec=: 620.5,
step: 68, | oss=: 0.9884 |tok/sec=: 112.7,
step: 69, | oss=: 0.9836 |tok/sec=: 202.8,
step: 70, | oss=: 0.6609 |tok/sec=: 597.8,
step: 71, | oss=: 0.7933 |tok/sec=: 448.1,
step: 72, | oss=: 1.0471 |tok/sec=: 101.4,
step: 73, | oss=: 1.0991 |tok/sec=: 279.5,
step: 74, | oss=: 0.2682 |tok/sec=: 565.7,
step: 75, | oss=: 0.7122 |tok/sec=: 567.8,
step: 76, | oss=: 0.5232 |tok/sec=: 085.4,
step: 77, | loss: 9.7973 |tok/sec=: 265.7,
step: 78, | oss=: 0.7421 |tok/sec=: 552.6,
step: 79, | oss=: 0.2257 |tok/sec=: 552.6,
step: 80, | oss=: 0.5099 |tok/sec=: 113.0,
step: 81, | oss=: 0.2946 |tok/sec=: 275.8,
step: 82, | loss: 9.8482 |tok/sec=: 627.8,
step: 83, | loss: 9.9719 |tok/sec=: 626.4,
step: 84, | loss: 9.9403 |tok/sec=: 098.7,
step: 85, | loss: 9.7451 |tok/sec=: 280.5,
step: 86, | loss: 9.8434 |tok/sec=: 628.8,
step: 87, | oss=: 0.1131 |tok/sec=: 632.1,
step: 88, | oss=: 0.3999 |tok/sec=: 122.0,
step: 89, | loss: 9.7012 |tok/sec=: 232.4,
step: 90, | loss: 8.4406 |tok/sec=: 552.0,
step: 91, | loss: 9.4344 |tok/sec=: 554.0,
step: 92, | loss: 9.5345 |tok/sec=: 070.9,
step: 93, | loss: 9.2459 |tok/sec=: 248.1,
step: 94, | loss: 9.4317 |tok/sec=: 627.4,
step: 95, | loss: 8.7446 |tok/sec=: 476.1,
step: 96, | loss: 8.9562 |tok/sec=: 027.5,
step: 97, | loss: 9.5454 |tok/sec=: 277.7,
step: 98, | loss: 9.2244 |tok/sec=: 562.0,
step: 99, | loss: 8.9482 |tok/sec=: 558.9,
step: 100 | loss: 8.9270 | tok/sec: 1071.5
step: 101 | loss: 8.9668 | tok/sec: 1279.8
step: 102 | loss: 9.0778 | tok/sec: 1619.7
step: 103 | loss: 8.1820 | tok/sec: 1620.6
step: 104 | loss: 8.5569 | tok/sec: 1108.8
step: 105 | loss: 8.6739 | tok/sec: 1274.8
step: 106 | loss: 9.0021 | tok/sec: 1472.8
step: 107 | loss: 9.0121 | tok/sec: 1627.1
step: 108 | loss: 8.6888 | tok/sec: 1100.9
step: 109 | loss: 7.6932 | tok/sec: 1277.2
step: 110 | loss: 8.8143 | tok/sec: 1617.4
step: 111 | loss: 8.6333 | tok/sec: 1618.3
step: 112 | loss: 8.6922 | tok/sec: 1051.7
step: 113 | loss: 7.7287 | tok/sec: 1279.7
step: 114 | loss: 8.1921 | tok/sec: 1608.3
step: 115 | loss: 8.3795 | tok/sec: 1621.0
step: 116 | loss: 8.7795 | tok/sec: 1115.2
step: 117 | loss: 8.0937 | tok/sec: 1223.9
step: 118 | loss: 7.9404 | tok/sec: 1537.6
step: 119 | loss: 8.6334 | tok/sec: 1536.0
step: 120 | loss: 8.3745 | tok/sec: 1065.7
step: 121 | loss: 8.4389 | tok/sec: 1238.3
step: 122 | loss: 7.4195 | tok/sec: 1560.1
step: 123 | loss: 9.2713 | tok/sec: 1557.5
step: 124 | loss: 8.3201 | tok/sec: 1081.4
step: 125 | loss: 8.6257 | tok/sec: 1228.0
step: 126 | loss: 8.8187 | tok/sec: 1532.9
step: 127 | loss: 8.1503 | tok/sec: 1530.5
step: 128 | loss: 7.4166 | tok/sec: 1067.0
step: 129 | loss: 7.3975 | tok/sec: 1278.5
step: 130 | loss: 7.3163 | tok/sec: 1616.6
step: 131 | loss: 7.5155 | tok/sec: 1482.3
step: 132 | loss: 7.9335 | tok/sec: 956.5,
step: 133 | loss: 8.6597 | tok/sec: 1279.0
step: 134 | loss: 7.1481 | tok/sec: 1626.2
step: 135 | loss: 7.9145 | tok/sec: 1625.4
step: 136 | loss: 8.1973 | tok/sec: 1111.6
step: 137 | loss: 7.7553 | tok/sec: 1284.3
step: 138 | loss: 8.3695 | tok/sec: 1625.8
step: 139 | loss: 7.9502 | tok/sec: 1622.9
step: 140 | loss: 7.4259 | tok/sec: 1108.4
step: 141 | loss: 7.5073 | tok/sec: 1165.6
step: 142 | loss: 8.1039 | tok/sec: 1613.5
step: 143 | loss: 7.6964 | tok/sec: 1613.9
step: 144 | loss: 7.7741 | tok/sec: 1104.3
step: 145 | loss: 7.9238 | tok/sec: 1260.1
step: 146 | loss: 8.0313 | tok/sec: 1621.5
step: 147 | loss: 7.5576 | tok/sec: 1621.9
step: 148 | loss: 7.9229 | tok/sec: 1118.8
step: 149 | loss: 7.9252 | tok/sec: 1279.9
step: 150 | loss: 7.5954 | tok/sec: 1621.4
step: 151 | loss: 7.4986 | tok/sec: 1618.5
step: 152 | loss: 7.9938 | tok/sec: 1114.1
step: 153 | loss: 7.9213 | tok/sec: 1176.8
step: 154 | loss: 7.3911 | tok/sec: 1542.2
step: 155 | loss: 7.9783 | tok/sec: 1544.5
step: 156 | loss: 7.6320 | tok/sec: 1071.8
step: 157 | loss: 7.7296 | tok/sec: 1260.3
step: 158 | loss: 7.3726 | tok/sec: 1537.8
step: 159 | loss: 7.9079 | tok/sec: 1538.0
step: 160 | loss: 8.5201 | tok/sec: 1077.4
step: 161 | loss: 6.8902 | tok/sec: 1269.4
step: 162 | loss: 7.9055 | tok/sec: 1589.0
step: 163 | loss: 8.1348 | tok/sec: 1592.6
step: 164 | loss: 7.9573 | tok/sec: 1098.8
step: 165 | loss: 7.3819 | tok/sec: 1284.5
step: 166 | loss: 7.3560 | tok/sec: 1619.9
step: 167 | loss: 7.3894 | tok/sec: 1465.6
step: 168 | loss: 7.2278 | tok/sec: 962.3,
step: 169 | loss: 7.9817 | tok/sec: 1251.5
step: 170 | loss: 8.1883 | tok/sec: 1550.7
step: 171 | loss: 7.8950 | tok/sec: 1554.1
step: 172 | loss: 7.6815 | tok/sec: 1078.0
step: 173 | loss: 7.5489 | tok/sec: 1244.5
step: 174 | loss: 7.9322 | tok/sec: 1558.3
step: 175 | loss: 8.2987 | tok/sec: 1560.7
step: 176 | loss: 7.4025 | tok/sec: 1012.5
step: 177 | loss: 7.3573 | tok/sec: 1279.6
step: 178 | loss: 7.2167 | tok/sec: 1613.9
step: 179 | loss: 8.0995 | tok/sec: 1627.5
step: 180 | loss: 7.7162 | tok/sec: 1107.9
step: 181 | loss: 7.4699 | tok/sec: 1231.3
step: 182 | loss: 6.6892 | tok/sec: 1534.0
step: 183 | loss: 7.0554 | tok/sec: 1534.0
step: 184 | loss: 7.2441 | tok/sec: 1075.6
step: 185 | loss: 7.5241 | tok/sec: 1281.2
step: 186 | loss: 7.3784 | tok/sec: 1614.2
step: 187 | loss: 7.3106 | tok/sec: 1612.0
step: 188 | loss: 7.7034 | tok/sec: 1111.9
step: 189 | loss: 7.3096 | tok/sec: 1282.1
step: 190 | loss: 7.5117 | tok/sec: 1619.1
step: 191 | loss: 8.1478 | tok/sec: 1616.5
step: 192 | loss: 7.5030 | tok/sec: 1108.4
step: 193 | loss: 7.0402 | tok/sec: 1260.6
step: 194 | loss: 8.0752 | tok/sec: 1546.3
step: 195 | loss: 8.1148 | tok/sec: 1548.0
step: 196 | loss: 7.2820 | tok/sec: 1077.8
step: 197 | loss: 7.6553 | tok/sec: 1277.7
step: 198 | loss: 7.5768 | tok/sec: 1452.3
step: 199 | loss: 7.5106 | tok/sec: 1616.8
step: 200 | loss: 7.8970 | tok/sec: 1108.9
step: 201 | loss: 7.2965 | tok/sec: 1278.5
step: 202 | loss: 8.0195 | tok/sec: 1623.2
step: 203 | loss: 7.6657 | tok/sec: 1470.4
step: 204 | loss: 7.9491 | tok/sec: 1025.8
step: 205 | loss: 7.5610 | tok/sec: 1265.3
step: 206 | loss: 7.2223 | tok/sec: 1541.7
step: 207 | loss: 7.5717 | tok/sec: 1563.7
step: 208 | loss: 7.4026 | tok/sec: 1080.0
step: 209 | loss: 7.6763 | tok/sec: 1261.6
step: 210 | loss: 7.1429 | tok/sec: 1616.4
step: 211 | loss: 7.6671 | tok/sec: 1465.1
step: 212 | loss: 7.1146 | tok/sec: 1105.4
step: 213 | loss: 7.8529 | tok/sec: 1273.9
step: 214 | loss: 7.4854 | tok/sec: 1624.1
step: 215 | loss: 7.5020 | tok/sec: 1622.7
step: 216 | loss: 8.0775 | tok/sec: 1119.1
step: 217 | loss: 7.6123 | tok/sec: 1278.4
step: 218 | loss: 6.9768 | tok/sec: 1620.3
step: 219 | loss: 7.2396 | tok/sec: 1620.4
step: 220 | loss: 7.4679 | tok/sec: 1110.2
step: 221 | loss: 6.7974 | tok/sec: 1258.9
step: 222 | loss: 7.5707 | tok/sec: 1625.7
step: 223 | loss: 8.0257 | tok/sec: 1623.3
step: 224 | loss: 8.5380 | tok/sec: 1119.7
step: 225 | loss: 7.7372 | tok/sec: 1268.6
step: 226 | loss: 6.6524 | tok/sec: 1534.3
step: 227 | loss: 6.9538 | tok/sec: 1537.3
step: 228 | loss: 7.9741 | tok/sec: 1069.4
step: 229 | loss: 7.4277 | tok/sec: 1241.9
step: 230 | loss: 7.3941 | tok/sec: 1565.9
step: 231 | loss: 6.6223 | tok/sec: 1564.2
step: 232 | loss: 7.6862 | tok/sec: 1082.2
step: 233 | loss: 7.1200 | tok/sec: 1236.5
step: 234 | loss: 7.2777 | tok/sec: 1556.6
step: 235 | loss: 7.2015 | tok/sec: 1557.7
step: 236 | loss: 7.4671 | tok/sec: 1083.4
step: 237 | loss: 7.4911 | tok/sec: 1284.4
step: 238 | loss: 7.9422 | tok/sec: 1596.1
step: 239 | loss: 6.8823 | tok/sec: 1595.8
step: 240 | loss: 7.2704 | tok/sec: 958.9,
step: 241 | loss: 7.7033 | tok/sec: 1115.5
step: 242 | loss: 8.0420 | tok/sec: 1620.2
step: 243 | loss: 7.4170 | tok/sec: 1621.7
step: 244 | loss: 7.9546 | tok/sec: 1114.1
step: 245 | loss: 7.3759 | tok/sec: 1265.7
step: 246 | loss: 6.7289 | tok/sec: 1451.0
step: 247 | loss: 7.8955 | tok/sec: 1621.9
step: 248 | loss: 7.7940 | tok/sec: 1106.4
step: 249 | loss: 7.8981 | tok/sec: 1276.7
step: 250 | loss: 7.5553 | tok/sec: 1620.5
step: 251 | loss: 6.6345 | tok/sec: 1620.9
step: 252 | loss: 6.2916 | tok/sec: 1114.7
step: 253 | loss: 7.8375 | tok/sec: 1280.8
step: 254 | loss: 5.9868 | tok/sec: 1568.2
step: 255 | loss: 7.5437 | tok/sec: 1540.1
step: 256 | loss: 7.9595 | tok/sec: 1063.4
step: 257 | loss: 8.2685 | tok/sec: 1271.0
step: 258 | loss: 7.6150 | tok/sec: 1615.4
step: 259 | loss: 7.3463 | tok/sec: 1608.6
step: 260 | loss: 7.8333 | tok/sec: 1099.7
step: 261 | loss: 6.6416 | tok/sec: 1255.2
step: 262 | loss: 6.9382 | tok/sec: 1590.2
step: 263 | loss: 7.2572 | tok/sec: 1608.1
step: 264 | loss: 7.6177 | tok/sec: 1112.4
step: 265 | loss: 7.8024 | tok/sec: 1235.4
step: 266 | loss: 7.7770 | tok/sec: 1551.2
step: 267 | loss: 6.7316 | tok/sec: 1542.0
step: 268 | loss: 7.9941 | tok/sec: 1074.1
step: 269 | loss: 7.5892 | tok/sec: 1282.2
step: 270 | loss: 7.0003 | tok/sec: 1617.3
step: 271 | loss: 7.8236 | tok/sec: 1617.1
step: 272 | loss: 7.8658 | tok/sec: 1109.8
step: 273 | loss: 7.0830 | tok/sec: 1284.8
step: 274 | loss: 7.3325 | tok/sec: 1477.1
step: 275 | loss: 8.2359 | tok/sec: 1630.5
step: 276 | loss: 6.7249 | tok/sec: 1038.8
step: 277 | loss: 8.0878 | tok/sec: 1185.5
step: 278 | loss: 7.4318 | tok/sec: 1617.6
step: 279 | loss: 7.2907 | tok/sec: 1615.6
step: 280 | loss: 7.7713 | tok/sec: 1104.8
step: 281 | loss: 6.0624 | tok/sec: 1280.1
step: 282 | loss: 7.5103 | tok/sec: 1634.7
step: 283 | loss: 7.0647 | tok/sec: 1500.3
step: 284 | loss: 7.8296 | tok/sec: 1047.0
step: 285 | loss: 6.3161 | tok/sec: 1234.8
step: 286 | loss: 8.2520 | tok/sec: 1556.9
step: 287 | loss: 7.5693 | tok/sec: 1551.7
step: 288 | loss: 7.0597 | tok/sec: 1069.8
step: 289 | loss: 7.7910 | tok/sec: 1266.9
step: 290 | loss: 7.3564 | tok/sec: 1586.7
step: 291 | loss: 7.6039 | tok/sec: 1601.8
