step: 1 | loss: 12.6046| toks/sec: 465.6
step: 2 | loss: 12.6093| toks/sec: 1791.4
step: 3 | loss: 12.5576| toks/sec: 1798.6
step: 4 | loss: 12.6902| toks/sec: 1213.7
step: 5 | loss: 12.6387| toks/sec: 1384.9
step: 6 | loss: 12.5089| toks/sec: 1752.2
step: 7 | loss: 12.4865| toks/sec: 1751.0
step: 8 | loss: 12.6893| toks/sec: 1320.6
step: 9 | loss: 12.5918| toks/sec: 1386.3
step: 10 | loss: 12.5575| toks/sec: 1751.6
step: 11 | loss: 12.5912| toks/sec: 386.7
step: 12 | loss: 12.6286| toks/sec: 1299.7
step: 13 | loss: 12.5799| toks/sec: 1374.5
step: 14 | loss: 12.5937| toks/sec: 1724.7
step: 15 | loss: 12.5321| toks/sec: 1734.8
step: 16 | loss: 12.4588| toks/sec: 1318.0
step: 17 | loss: 12.3105| toks/sec: 1365.2
step: 18 | loss: 12.3472| toks/sec: 1760.4
step: 19 | loss: 12.4118| toks/sec: 1758.9
step: 20 | loss: 12.4397| toks/sec: 1336.4
step: 21 | loss: 11.9858| toks/sec: 1389.2
step: 22 | loss: 12.0344| toks/sec: 1757.9
step: 23 | loss: 11.9891| toks/sec: 1757.5
step: 24 | loss: 12.0484| toks/sec: 1225.0
step: 25 | loss: 11.1033| toks/sec: 1256.9
step: 26 | loss: 11.3553| toks/sec: 1752.1
step: 27 | loss: 11.4627| toks/sec: 1561.9
step: 28 | loss: 11.1281| toks/sec: 1294.9
step: 29 | loss: 11.5442| toks/sec: 1378.9
step: 30 | loss: 11.0335| toks/sec: 1575.2
step: 31 | loss: 11.0276| toks/sec: 1751.5
step: 32 | loss: 11.2389| toks/sec: 1332.4
step: 33 | loss: 11.7595| toks/sec: 1384.8
step: 34 | loss: 11.5468| toks/sec: 1761.9
step: 35 | loss: 11.3449| toks/sec: 1760.8
step: 36 | loss: 12.0939| toks/sec: 1334.7
step: 37 | loss: 10.4079| toks/sec: 1364.6
step: 38 | loss: 11.8160| toks/sec: 1729.8
step: 39 | loss: 11.5492| toks/sec: 1553.7
step: 40 | loss: 11.3095| toks/sec: 1329.5
step: 41 | loss: 10.8524| toks/sec: 1376.0
step: 42 | loss: 10.9147| toks/sec: 1745.1
step: 43 | loss: 10.8846| toks/sec: 1730.7
step: 44 | loss: 11.2142| toks/sec: 1334.6
step: 45 | loss: 10.0713| toks/sec: 1357.7
step: 46 | loss: 9.9842 | toks/sec: 1650.7
step: 47 | loss: 10.5394| toks/sec: 1652.8
step: 48 | loss: 9.9200 | toks/sec: 1267.0
step: 49 | loss: 10.2573| toks/sec: 1378.9
step: 50 | loss: 10.6660| toks/sec: 1746.6
step: 51 | loss: 10.4674| toks/sec: 1756.3
step: 52 | loss: 10.1933| toks/sec: 1330.2
step: 53 | loss: 10.0716| toks/sec: 1378.1
step: 54 | loss: 9.8937 | toks/sec: 1751.1
step: 55 | loss: 10.2715| toks/sec: 1751.2
step: 56 | loss: 9.7225 | toks/sec: 1333.0
step: 57 | loss: 9.4060 | toks/sec: 1326.4
step: 58 | loss: 9.8240 | toks/sec: 1659.4
step: 59 | loss: 9.9999 | toks/sec: 1663.3
step: 60 | loss: 9.1910 | toks/sec: 1179.3
step: 61 | loss: 9.0409 | toks/sec: 1382.7
step: 62 | loss: 8.8870 | toks/sec: 1753.7
step: 63 | loss: 9.2602 | toks/sec: 1435.0
step: 64 | loss: 9.3063 | toks/sec: 1332.4
step: 65 | loss: 8.5049 | toks/sec: 1383.7
step: 66 | loss: 9.0512 | toks/sec: 1755.0
step: 67 | loss: 8.5061 | toks/sec: 1610.0
step: 68 | loss: 8.8512 | toks/sec: 1331.5
step: 69 | loss: 8.5907 | toks/sec: 1371.2
step: 70 | loss: 8.1158 | toks/sec: 1750.4
step: 71 | loss: 8.0232 | toks/sec: 1751.0
step: 72 | loss: 8.6192 | toks/sec: 1336.6
step: 73 | loss: 9.3264 | toks/sec: 1363.7
step: 74 | loss: 8.0870 | toks/sec: 1754.1
step: 75 | loss: 8.1826 | toks/sec: 1752.9
step: 76 | loss: 8.0868 | toks/sec: 1332.5
step: 77 | loss: 7.2654 | toks/sec: 1386.5
step: 78 | loss: 8.4294 | toks/sec: 1753.3
step: 79 | loss: 7.7534 | toks/sec: 1754.6
step: 80 | loss: 8.3078 | toks/sec: 1333.2
step: 81 | loss: 8.3159 | toks/sec: 1255.8
step: 82 | loss: 7.7523 | toks/sec: 1747.9
step: 83 | loss: 7.7350 | toks/sec: 1746.8
step: 84 | loss: 7.8327 | toks/sec: 1325.0
step: 85 | loss: 7.9760 | toks/sec: 1385.3
step: 86 | loss: 7.5952 | toks/sec: 1753.2
step: 87 | loss: 7.9573 | toks/sec: 1743.5
step: 88 | loss: 8.3017 | toks/sec: 1343.2
step: 89 | loss: 8.2503 | toks/sec: 1386.1
step: 90 | loss: 6.9366 | toks/sec: 1763.4
step: 91 | loss: 7.6110 | toks/sec: 1764.7
step: 92 | loss: 7.9079 | toks/sec: 1352.2
step: 93 | loss: 7.5615 | toks/sec: 1373.8
step: 94 | loss: 8.0287 | toks/sec: 1744.2
step: 95 | loss: 7.2585 | toks/sec: 1748.1
step: 96 | loss: 7.5803 | toks/sec: 1160.8
step: 97 | loss: 8.3781 | toks/sec: 1382.4
step: 98 | loss: 7.6139 | toks/sec: 1579.2
step: 99 | loss: 7.6735 | toks/sec: 1592.9
step: 100 | loss: 7.9088 | toks/sec: 1338.7
step: 101 | loss: 7.9020 | toks/sec: 1353.7
step: 102 | loss: 8.2079 | toks/sec: 1739.7
