step: 1 | loss: 12.6896 | toks/s: 2204.6
step: 2 | loss: 12.5679 | toks/s: 4461.6
step: 3 | loss: 12.6369 | toks/s: 4365.9
step: 4 | loss: 12.5920 | toks/s: 4361.6
step: 5 | loss: 12.5803 | toks/s: 4360.7
step: 6 | loss: 12.6070 | toks/s: 4399.5
step: 7 | loss: 12.5264 | toks/s: 4371.4
step: 8 | loss: 12.4886 | toks/s: 4314.5
step: 9 | loss: 12.3223 | toks/s: 4356.6
step: 10 | loss: 12.1926 | toks/s: 4321.9
step: 11 | loss: 12.0652 | toks/s: 1165.3
step: 12 | loss: 11.7830 | toks/s: 4380.2
step: 13 | loss: 11.5086 | toks/s: 4368.6
step: 14 | loss: 10.9740 | toks/s: 4385.5
step: 15 | loss: 10.6523 | toks/s: 4377.9
step: 16 | loss: 10.1611 | toks/s: 4386.0
step: 17 | loss: 10.0290 | toks/s: 4341.8
step: 18 | loss: 9.6510 | toks/s: 4334.5
step: 19 | loss: 10.0336 | toks/s: 4371.2
step: 20 | loss: 9.9084 | toks/s: 4355.6
step: 21 | loss: 9.7676 | toks/s: 4351.6
step: 22 | loss: 9.9896 | toks/s: 4294.2
step: 23 | loss: 9.3002 | toks/s: 4347.3
step: 24 | loss: 9.2529 | toks/s: 4343.4
step: 25 | loss: 9.8521 | toks/s: 4345.6
step: 26 | loss: 8.6647 | toks/s: 4338.8
step: 27 | loss: 8.6202 | toks/s: 4369.3
step: 28 | loss: 9.1398 | toks/s: 4359.7
step: 29 | loss: 8.9337 | toks/s: 4321.0
step: 30 | loss: 8.4239 | toks/s: 4385.3
step: 31 | loss: 8.3267 | toks/s: 4363.1
step: 32 | loss: 8.2047 | toks/s: 4342.1
step: 33 | loss: 7.5054 | toks/s: 4357.1
step: 34 | loss: 7.7335 | toks/s: 4347.6
step: 35 | loss: 7.6316 | toks/s: 4358.5
step: 36 | loss: 7.4893 | toks/s: 4356.9
step: 37 | loss: 7.4118 | toks/s: 4355.1
step: 38 | loss: 7.4977 | toks/s: 4337.0
step: 39 | loss: 7.3588 | toks/s: 4046.6
step: 40 | loss: 7.5450 | toks/s: 4324.6
step: 41 | loss: 7.4141 | toks/s: 4360.3
step: 42 | loss: 6.9491 | toks/s: 4365.0
step: 43 | loss: 7.4190 | toks/s: 4374.9
step: 44 | loss: 7.2119 | toks/s: 4344.3
step: 45 | loss: 7.2087 | toks/s: 4293.1
step: 46 | loss: 6.6884 | toks/s: 4055.8
step: 47 | loss: 6.9193 | toks/s: 4370.5
step: 48 | loss: 6.9388 | toks/s: 4363.5
