step: 1 | loss: 12.6896 | toks/s: 1844.2
step: 2 | loss: 12.5679 | toks/s: 5947.0
step: 3 | loss: 12.6369 | toks/s: 5785.2
step: 4 | loss: 12.5862 | toks/s: 5821.9
step: 5 | loss: 12.5731 | toks/s: 5783.5
step: 6 | loss: 12.5644 | toks/s: 5796.5
step: 7 | loss: 12.5484 | toks/s: 5734.9
step: 8 | loss: 12.4346 | toks/s: 5781.8
step: 9 | loss: 12.3870 | toks/s: 5758.8
step: 10 | loss: 12.1690 | toks/s: 5778.9
step: 11 | loss: 12.0371 | toks/s: 4353.3
step: 12 | loss: 11.9063 | toks/s: 5260.8
step: 13 | loss: 11.5405 | toks/s: 5788.3
step: 14 | loss: 11.1076 | toks/s: 5767.3
step: 15 | loss: 10.6831 | toks/s: 5720.2
step: 16 | loss: 10.2565 | toks/s: 5805.7
step: 17 | loss: 10.1120 | toks/s: 5757.4
step: 18 | loss: 9.6634 | toks/s: 5731.9
step: 19 | loss: 9.1082 | toks/s: 5770.6
step: 20 | loss: 9.1737 | toks/s: 5789.7
step: 21 | loss: 9.8399 | toks/s: 5756.7
step: 22 | loss: 10.3073 | toks/s: 5712.6
step: 23 | loss: 10.1736 | toks/s: 5631.7
step: 24 | loss: 9.4930 | toks/s: 5698.3
step: 25 | loss: 9.7312 | toks/s: 5601.9
step: 26 | loss: 8.6932 | toks/s: 5718.0
step: 27 | loss: 9.2244 | toks/s: 5779.9
step: 28 | loss: 9.7296 | toks/s: 5757.2
step: 29 | loss: 8.7458 | toks/s: 5790.8
step: 30 | loss: 8.5094 | toks/s: 5768.6
step: 31 | loss: 8.8044 | toks/s: 5777.5
step: 32 | loss: 8.6556 | toks/s: 5826.9
step: 33 | loss: 7.7711 | toks/s: 5822.2
step: 34 | loss: 7.9281 | toks/s: 5866.2
step: 35 | loss: 7.8456 | toks/s: 5710.5
step: 36 | loss: 7.8258 | toks/s: 5689.0
step: 37 | loss: 7.6992 | toks/s: 5719.7
step: 38 | loss: 7.7125 | toks/s: 5751.1
step: 39 | loss: 7.6157 | toks/s: 5731.3
step: 40 | loss: 7.6632 | toks/s: 5727.8
step: 41 | loss: 7.5314 | toks/s: 5680.7
step: 42 | loss: 7.1173 | toks/s: 5783.5
step: 43 | loss: 7.6267 | toks/s: 5805.2
step: 44 | loss: 7.3500 | toks/s: 5822.1
step: 45 | loss: 7.3944 | toks/s: 5832.3
step: 46 | loss: 6.9299 | toks/s: 5780.9
step: 47 | loss: 7.0748 | toks/s: 5756.3
step: 48 | loss: 7.1001 | toks/s: 5810.1
step: 49 | loss: 7.2075 | toks/s: 5783.8
