
 step: 1 | loss: 12.6896 | toks/s: 1660.2
 step: 2 | loss: 12.5679 | toks/s: 5929.6
 step: 3 | loss: 12.6369 | toks/s: 5668.3
 step: 4 | loss: 12.5903 | toks/s: 5709.4
 step: 5 | loss: 12.5659 | toks/s: 5766.2
 step: 6 | loss: 12.6009 | toks/s: 5696.0
 step: 7 | loss: 12.5576 | toks/s: 5682.8
 step: 8 | loss: 12.4412 | toks/s: 5647.5
 step: 9 | loss: 12.2482 | toks/s: 5711.0
 step: 10 | loss: 12.1393 | toks/s: 5757.8
 step: 11 | loss: 11.9782 | toks/s: 5494.0
 step: 12 | loss: 11.7141 | toks/s: 5691.7
 step: 13 | loss: 11.4108 | toks/s: 5701.8
 step: 14 | loss: 10.9429 | toks/s: 5683.0
 step: 15 | loss: 10.6224 | toks/s: 5701.7
 step: 16 | loss: 10.3548 | toks/s: 5681.5
 step: 17 | loss: 10.0270 | toks/s: 5736.8
 step: 18 | loss: 9.6043 | toks/s: 5692.6
 step: 19 | loss: 9.2838 | toks/s: 5677.2
 step: 20 | loss: 9.6089 | toks/s: 5690.3
 step: 21 | loss: 9.5547 | toks/s: 5653.7
 step: 22 | loss: 9.6592 | toks/s: 5778.5
 step: 23 | loss: 9.6334 | toks/s: 5644.2
 step: 24 | loss: 9.3656 | toks/s: 5657.8
 step: 25 | loss: 9.0857 | toks/s: 5335.8
 step: 26 | loss: 8.1934 | toks/s: 5327.0
 step: 27 | loss: 9.5427 | toks/s: 5321.6
 step: 28 | loss: 8.3648 | toks/s: 5664.1
 step: 29 | loss: 8.3476 | toks/s: 5715.2
 step: 30 | loss: 8.1833 | toks/s: 5631.6
 step: 31 | loss: 8.6275 | toks/s: 5609.3
 step: 32 | loss: 8.1888 | toks/s: 5544.9
 step: 33 | loss: 7.6019 | toks/s: 5519.6
 step: 34 | loss: 7.9724 | toks/s: 5529.6
 step: 35 | loss: 7.7225 | toks/s: 5576.7
 step: 36 | loss: 7.4517 | toks/s: 5522.0
 step: 37 | loss: 7.4803 | toks/s: 5525.4
 step: 38 | loss: 7.7480 | toks/s: 5558.5
 step: 39 | loss: 7.3821 | toks/s: 5615.5
 step: 40 | loss: 7.5589 | toks/s: 5619.8
 step: 41 | loss: 7.5025 | toks/s: 5611.0
 step: 42 | loss: 6.9884 | toks/s: 5559.4
 step: 43 | loss: 7.5529 | toks/s: 5592.8
 step: 44 | loss: 7.2059 | toks/s: 5583.9
 step: 45 | loss: 7.2270 | toks/s: 5593.7
 step: 46 | loss: 6.7584 | toks/s: 5676.7
 step: 47 | loss: 6.9222 | toks/s: 5598.2
 step: 48 | loss: 6.9429 | toks/s: 5603.2
 step: 49 | loss: 7.0968 | toks/s: 5590.3
 step: 50 | loss: 7.1724 | toks/s: 5605.0
 step: 51 | loss: 7.2575 | toks/s: 5638.6
 step: 52 | loss: 6.9175 | toks/s: 5616.1
 step: 53 | loss: 6.9589 | toks/s: 5647.7
 step: 54 | loss: 7.2842 | toks/s: 5682.1
 step: 55 | loss: 6.7546 | toks/s: 5627.0
 step: 56 | loss: 7.0969 | toks/s: 5660.8
 step: 57 | loss: 6.7306 | toks/s: 5630.7
 step: 58 | loss: 6.7618 | toks/s: 5676.9
 step: 59 | loss: 6.6672 | toks/s: 5609.5
 step: 60 | loss: 6.8269 | toks/s: 5658.0
 step: 61 | loss: 7.2078 | toks/s: 5632.1
 step: 62 | loss: 6.7535 | toks/s: 5587.6
 step: 63 | loss: 6.4277 | toks/s: 5652.0
 step: 64 | loss: 6.6056 | toks/s: 5601.8
 step: 65 | loss: 7.0837 | toks/s: 5604.6
 step: 66 | loss: 6.4971 | toks/s: 5596.8
 step: 67 | loss: 6.7821 | toks/s: 5594.0
 step: 68 | loss: 6.8423 | toks/s: 5598.8
 step: 69 | loss: 6.7532 | toks/s: 5586.6
 step: 70 | loss: 6.8186 | toks/s: 5556.4
 step: 71 | loss: 6.4121 | toks/s: 5588.2
 step: 72 | loss: 6.6240 | toks/s: 5580.0
 step: 73 | loss: 6.7631 | toks/s: 5628.1
 step: 74 | loss: 6.4770 | toks/s: 5582.4
 step: 75 | loss: 6.1565 | toks/s: 5606.9
 step: 76 | loss: 6.3013 | toks/s: 5631.4
 step: 77 | loss: 6.6710 | toks/s: 5586.8
 step: 78 | loss: 6.6700 | toks/s: 5556.6
 step: 79 | loss: 6.8878 | toks/s: 5618.6
 step: 80 | loss: 6.1199 | toks/s: 5571.0
 step: 81 | loss: 6.6660 | toks/s: 5605.0
 step: 82 | loss: 6.8156 | toks/s: 5584.8
 step: 83 | loss: 6.5161 | toks/s: 5604.8
 step: 84 | loss: 6.2185 | toks/s: 5597.3
 step: 85 | loss: 6.3098 | toks/s: 5610.2
 step: 86 | loss: 6.2952 | toks/s: 5615.6
 step: 87 | loss: 6.3811 | toks/s: 5607.0
 step: 88 | loss: 6.4339 | toks/s: 5623.7
 step: 89 | loss: 6.5982 | toks/s: 5575.5
 step: 90 | loss: 6.4035 | toks/s: 5616.8
 step: 91 | loss: 6.4442 | toks/s: 5090.0
 step: 92 | loss: 6.8259 | toks/s: 5668.6
 step: 93 | loss: 6.4640 | toks/s: 5637.1
 step: 94 | loss: 6.4449 | toks/s: 5606.7
 step: 95 | loss: 6.1363 | toks/s: 5559.3
 step: 96 | loss: 6.0288 | toks/s: 5612.8
 step: 97 | loss: 5.9938 | toks/s: 5632.9
 step: 98 | loss: 6.4212 | toks/s: 5605.1
 step: 99 | loss: 6.0479 | toks/s: 5632.1
 step: 100 | loss: 6.2060 | toks/s: 5609.1
 step: 101 | loss: 6.0338 | toks/s: 5644.1
 step: 102 | loss: 5.7252 | toks/s: 5682.1
 step: 103 | loss: 6.5386 | toks/s: 5617.4
 step: 104 | loss: 6.2186 | toks/s: 5656.7
 step: 105 | loss: 6.0263 | toks/s: 5615.4
 step: 106 | loss: 6.0316 | toks/s: 5241.9
 step: 107 | loss: 6.2638 | toks/s: 5610.5
 step: 108 | loss: 6.1357 | toks/s: 5626.3
 step: 109 | loss: 5.5974 | toks/s: 5609.9
 step: 110 | loss: 6.1954 | toks/s: 5615.7
 step: 111 | loss: 6.3603 | toks/s: 5633.2
 step: 112 | loss: 6.2122 | toks/s: 5158.9
 step: 113 | loss: 6.1584 | toks/s: 5627.8
 step: 114 | loss: 6.0998 | toks/s: 5639.1
 step: 115 | loss: 5.9493 | toks/s: 5614.0
 step: 116 | loss: 5.8222 | toks/s: 5609.8
 step: 117 | loss: 5.9076 | toks/s: 5591.9
 step: 118 | loss: 6.1709 | toks/s: 5599.7
 step: 119 | loss: 6.0217 | toks/s: 5614.9
 step: 120 | loss: 6.0413 | toks/s: 5177.6
 step: 121 | loss: 6.2402 | toks/s: 5579.0
 step: 122 | loss: 6.0033 | toks/s: 5588.0
 step: 123 | loss: 6.3863 | toks/s: 5132.8
 step: 124 | loss: 6.0946 | toks/s: 5620.4
 step: 125 | loss: 6.2598 | toks/s: 5600.9
 step: 126 | loss: 6.2396 | toks/s: 5631.8
 step: 127 | loss: 6.0667 | toks/s: 5613.4
 step: 128 | loss: 6.0214 | toks/s: 5607.7
 step: 129 | loss: 6.5716 | toks/s: 5619.2
 step: 130 | loss: 6.1318 | toks/s: 5220.2
 step: 131 | loss: 5.6009 | toks/s: 5673.4
 step: 132 | loss: 6.0409 | toks/s: 5601.7
 step: 133 | loss: 5.9896 | toks/s: 5630.6
 step: 134 | loss: 6.0689 | toks/s: 5639.6
