step: 1  | loss: 12.689 | toks/s: 2750.1
step: 2  | loss: 12.567 | toks/s: 5898.9
step: 3  | loss: 12.636 | toks/s: 5750.8
step: 4  | loss: 12.590 | toks/s: 5783.3
step: 5  | loss: 12.571 | toks/s: 5797.3
step: 6  | loss: 12.604 | toks/s: 5807.5
step: 7  | loss: 12.524 | toks/s: 5777.3
step: 8  | loss: 12.490 | toks/s: 5789.8
step: 9  | loss: 12.258 | toks/s: 5782.9
step: 10 | loss: 12.218 | toks/s: 5800.2
step: 11 | loss: 12.034 | toks/s: 4387.2
step: 12 | loss: 11.802 | toks/s: 5837.6
step: 13 | loss: 11.428 | toks/s: 5857.7
step: 14 | loss: 10.812 | toks/s: 5860.8
step: 15 | loss: 10.626 | toks/s: 5837.4
step: 16 | loss: 10.348 | toks/s: 5818.6
step: 17 | loss: 10.114 | toks/s: 5852.9
step: 18 | loss: 9.6987 | toks/s: 5877.7
step: 19 | loss: 9.3910 | toks/s: 5916.0
step: 20 | loss: 8.9879 | toks/s: 6004.5
step: 21 | loss: 9.6717 | toks/s: 5937.5
step: 22 | loss: 9.7979 | toks/s: 5973.6
step: 23 | loss: 9.3729 | toks/s: 6002.1
step: 24 | loss: 8.8453 | toks/s: 5945.3
step: 25 | loss: 9.5960 | toks/s: 6029.7
step: 26 | loss: 9.4022 | toks/s: 5955.8
step: 27 | loss: 9.4863 | toks/s: 5974.4
step: 28 | loss: 8.6850 | toks/s: 6031.0
step: 29 | loss: 8.4388 | toks/s: 5963.7
step: 30 | loss: 8.1227 | toks/s: 6000.5
step: 31 | loss: 8.2317 | toks/s: 5988.9
step: 32 | loss: 8.0368 | toks/s: 5959.0
step: 33 | loss: 7.2290 | toks/s: 6037.5
step: 34 | loss: 7.8034 | toks/s: 6016.0
step: 35 | loss: 7.5289 | toks/s: 5985.2
step: 36 | loss: 7.4455 | toks/s: 5967.3
step: 37 | loss: 7.4128 | toks/s: 5972.1
step: 38 | loss: 7.5268 | toks/s: 5932.7
