Tokenizer,Vocab Size,Category,Bytes/Token,Fertility,Speed (Tokens/sec),Fallback (%),Vocab Gini,Total Tokens
gemma_tokenizer,255998,Code - c,2.9325,3.3415,664530.39,0.0,0.9236,1794828
mistral_tokenizer,131072,Code - c,3.2142,3.0487,560016.8,0.0,0.8911,1637537
our_tokenizer,131072,Code - c,3.5162,2.7869,549039.29,0.0,0.8815,1496919
olmocode_tokenizer,151669,Code - c,3.5226,2.7818,446572.87,0.0,0.8901,1494184
qwencode_tokenizer,151669,Code - c,3.5226,2.7818,444532.35,0.0,0.8901,1494184
qwen_tokenizer,151669,Code - c,3.5226,2.7818,453063.0,0.0,0.8901,1494184
gptoss_tokenizer,200019,Code - c,3.5796,2.7375,528893.25,0.0,0.8843,1470403
gemma_tokenizer,255998,Code - cpp,3.4554,3.4625,502695.64,0.0,0.9075,1517326
mistral_tokenizer,131072,Code - cpp,3.7721,3.1718,467529.42,0.0,0.8705,1389961
our_tokenizer,131072,Code - cpp,4.0324,2.967,454342.15,0.0,0.8715,1300218
olmocode_tokenizer,151669,Code - cpp,4.0574,2.9488,366800.36,0.0,0.8758,1292226
qwencode_tokenizer,151669,Code - cpp,4.0574,2.9488,362984.23,0.0,0.8758,1292226
qwen_tokenizer,151669,Code - cpp,4.0574,2.9488,364633.25,0.0,0.8758,1292226
gptoss_tokenizer,200019,Code - cpp,4.0833,2.9301,453063.48,0.0,0.874,1284010
gemma_tokenizer,255998,Code - java,3.8077,3.0905,482999.45,0.0,0.9078,1380405
mistral_tokenizer,131072,Code - java,4.1457,2.8386,479223.86,0.0,0.8725,1267874
our_tokenizer,131072,Code - java,4.3666,2.695,487877.8,0.0,0.8745,1203741
gptoss_tokenizer,200019,Code - java,4.4674,2.6342,463526.97,0.0,0.8785,1176573
olmocode_tokenizer,151669,Code - java,4.5223,2.6022,353916.67,0.0,0.8739,1162304
qwencode_tokenizer,151669,Code - java,4.5223,2.6022,355785.4,0.0,0.8739,1162304
qwen_tokenizer,151669,Code - java,4.5223,2.6022,358747.66,0.0,0.8739,1162304
gemma_tokenizer,255998,Code - python,3.4679,3.3951,456862.88,0.0004,0.9167,1514738
mistral_tokenizer,131072,Code - python,3.9361,2.9912,423811.44,0.0,0.8696,1334535
our_tokenizer,131072,Code - python,4.1677,2.825,422478.94,0.0,0.8664,1260387
olmocode_tokenizer,151669,Code - python,4.2018,2.802,319171.37,0.0,0.8724,1250145
qwencode_tokenizer,151669,Code - python,4.2018,2.802,328746.88,0.0,0.8724,1250145
qwen_tokenizer,151669,Code - python,4.2018,2.802,328825.08,0.0,0.8724,1250145
gptoss_tokenizer,200019,Code - python,4.2352,2.78,405913.8,0.0,0.87,1240299
gemma_tokenizer,255998,Code - typescript,3.5733,3.1188,478907.26,0.0003,0.9176,1469886
mistral_tokenizer,131072,Code - typescript,3.9424,2.8268,464360.93,0.0,0.8814,1332260
our_tokenizer,131072,Code - typescript,4.1529,2.6835,473574.83,0.0,0.8797,1264726
olmocode_tokenizer,151669,Code - typescript,4.1706,2.6721,353558.45,0.0,0.8853,1259358
qwencode_tokenizer,151669,Code - typescript,4.1706,2.6721,356846.75,0.0,0.8853,1259358
qwen_tokenizer,151669,Code - typescript,4.1706,2.6721,355897.04,0.0,0.8853,1259358
gptoss_tokenizer,200019,Code - typescript,4.2007,2.653,452462.16,0.0,0.8839,1250352
olmocode_tokenizer,151669,Indic - hin_Deva,2.7407,4.9512,502474.53,0.0,0.9121,1916033
qwencode_tokenizer,151669,Indic - hin_Deva,2.7407,4.9512,505488.31,0.0,0.9121,1916033
qwen_tokenizer,151669,Indic - hin_Deva,2.7407,4.9512,507335.67,0.0,0.9121,1916033
gemma_tokenizer,255998,Indic - hin_Deva,6.261,2.1673,610204.61,0.0,0.761,838718
mistral_tokenizer,131072,Indic - hin_Deva,6.3671,2.1312,379366.67,0.0,0.7621,824747
our_tokenizer,131072,Indic - hin_Deva,7.6248,1.7797,341133.36,0.0,0.8012,688702
gptoss_tokenizer,200019,Indic - hin_Deva,7.6298,1.7785,330759.19,0.0,0.8021,688252
olmocode_tokenizer,151669,Indic - hin_Latn,2.7065,2.371,463137.55,0.0,0.9427,1938149
qwencode_tokenizer,151669,Indic - hin_Latn,2.7065,2.371,463790.74,0.0,0.9427,1938149
qwen_tokenizer,151669,Indic - hin_Latn,2.7065,2.371,468775.83,0.0,0.9427,1938149
mistral_tokenizer,131072,Indic - hin_Latn,2.7204,2.3589,526618.12,0.0,0.9409,1928266
gemma_tokenizer,255998,Indic - hin_Latn,2.9639,2.1651,665088.79,0.0,0.9386,1769836
our_tokenizer,131072,Indic - hin_Latn,3.0311,2.1171,514149.16,0.0,0.9301,1730612
gptoss_tokenizer,200019,Indic - hin_Latn,3.1137,2.061,482794.12,0.0,0.9293,1684719
olmocode_tokenizer,151669,Indic - tam_Taml,2.4682,9.6865,587475.86,0.0,0.9581,2125222
qwencode_tokenizer,151669,Indic - tam_Taml,2.4682,9.6865,589833.43,0.0,0.9581,2125222
qwen_tokenizer,151669,Indic - tam_Taml,2.4682,9.6865,593938.6,0.0,0.9581,2125222
gemma_tokenizer,255998,Indic - tam_Taml,5.5923,4.2751,819912.65,0.0,0.835,937964
mistral_tokenizer,131072,Indic - tam_Taml,6.4502,3.7065,405008.92,0.0,0.7886,813210
our_tokenizer,131072,Indic - tam_Taml,7.3231,3.2647,371438.45,0.0,0.8177,716277
gptoss_tokenizer,200019,Indic - tam_Taml,7.3293,3.262,347682.28,0.0,0.8192,715677
mistral_tokenizer,131072,NCERT - Accountancy,4.9787,1.2613,338651.23,0.0,0.9172,1316214
gemma_tokenizer,255998,NCERT - Accountancy,5.0572,1.2417,298147.78,0.0,0.9241,1295776
olmocode_tokenizer,151669,NCERT - Accountancy,5.114,1.2279,231407.68,0.0,0.9179,1281375
qwencode_tokenizer,151669,NCERT - Accountancy,5.114,1.2279,235611.4,0.0,0.9179,1281375
qwen_tokenizer,151669,NCERT - Accountancy,5.114,1.2279,238008.41,0.0,0.9179,1281375
our_tokenizer,131072,NCERT - Accountancy,5.2005,1.2075,345030.51,0.0,0.9164,1260068
gptoss_tokenizer,200019,NCERT - Accountancy,5.2341,1.1998,332493.33,0.0,0.9174,1251976
olmocode_tokenizer,151669,NCERT - Biology,5.1002,1.2839,225995.12,0.0,0.8488,589284
qwencode_tokenizer,151669,NCERT - Biology,5.1002,1.2839,222519.49,0.0,0.8488,589284
qwen_tokenizer,151669,NCERT - Biology,5.1002,1.2839,229967.66,0.0,0.8488,589284
our_tokenizer,131072,NCERT - Biology,5.1106,1.2813,331629.7,0.0,0.8486,588082
mistral_tokenizer,131072,NCERT - Biology,5.1746,1.2654,319108.9,0.0,0.8511,580806
gptoss_tokenizer,200019,NCERT - Biology,5.1836,1.2633,317303.08,0.0,0.8501,579799
gemma_tokenizer,255998,NCERT - Biology,5.2581,1.2453,276759.49,0.0,0.8621,571582
mistral_tokenizer,131072,NCERT - Business Studies,5.5826,1.1996,299721.02,0.0,0.881,709252
gemma_tokenizer,255998,NCERT - Business Studies,5.612,1.1933,251983.39,0.0,0.8918,705528
olmocode_tokenizer,151669,NCERT - Business Studies,5.7068,1.1735,194736.25,0.0,0.8829,693816
qwencode_tokenizer,151669,NCERT - Business Studies,5.7068,1.1735,198230.06,0.0,0.8829,693816
qwen_tokenizer,151669,NCERT - Business Studies,5.7068,1.1735,198523.68,0.0,0.8829,693816
our_tokenizer,131072,NCERT - Business Studies,5.7228,1.1702,303520.26,0.0,0.8825,691872
gptoss_tokenizer,200019,NCERT - Business Studies,5.7549,1.1637,294480.76,0.0,0.8844,688012
olmocode_tokenizer,151669,NCERT - Chemistry,4.7311,1.3319,244675.0,0.0,0.894,1120817
qwencode_tokenizer,151669,NCERT - Chemistry,4.7311,1.3319,249222.03,0.0,0.894,1120817
qwen_tokenizer,151669,NCERT - Chemistry,4.7311,1.3319,249048.98,0.0,0.894,1120817
our_tokenizer,131072,NCERT - Chemistry,4.7592,1.324,349473.82,0.0,0.8953,1114202
mistral_tokenizer,131072,NCERT - Chemistry,4.7754,1.3195,340935.46,0.0,0.8961,1110412
gptoss_tokenizer,200019,NCERT - Chemistry,4.8005,1.3126,338082.31,0.0,0.8969,1104607
gemma_tokenizer,255998,NCERT - Chemistry,4.8602,1.2965,313130.27,0.0,0.9035,1091047
mistral_tokenizer,131072,NCERT - Economics,5.2314,1.2157,327469.12,0.0,0.8957,1021765
gemma_tokenizer,255998,NCERT - Economics,5.2625,1.2085,280770.53,0.0,0.9042,1015724
olmocode_tokenizer,151669,NCERT - Economics,5.3294,1.1934,215722.45,0.0,0.8969,1002964
qwencode_tokenizer,151669,NCERT - Economics,5.3294,1.1934,219589.47,0.0,0.8969,1002964
qwen_tokenizer,151669,NCERT - Economics,5.3294,1.1934,221343.1,0.0,0.8969,1002964
our_tokenizer,131072,NCERT - Economics,5.3694,1.1845,333644.08,0.0,0.8951,995506
gptoss_tokenizer,200019,NCERT - Economics,5.398,1.1782,323221.3,0.0,0.8968,990230
mistral_tokenizer,131072,NCERT - Geography,5.1517,1.2616,316942.96,0.0,0.874,959629
olmocode_tokenizer,151669,NCERT - Geography,5.2235,1.2443,213151.97,0.0,0.8741,946433
qwencode_tokenizer,151669,NCERT - Geography,5.2235,1.2443,215689.65,0.0,0.8741,946433
qwen_tokenizer,151669,NCERT - Geography,5.2235,1.2443,216392.15,0.0,0.8741,946433
gemma_tokenizer,255998,NCERT - Geography,5.2277,1.2433,269886.19,0.0,0.8869,945676
our_tokenizer,131072,NCERT - Geography,5.291,1.2284,325191.73,0.0,0.8714,934351
gptoss_tokenizer,200019,NCERT - Geography,5.339,1.2173,311953.83,0.0,0.8738,925951
mistral_tokenizer,131072,NCERT - History,4.9935,1.3055,309507.21,0.0,0.8596,602355
olmocode_tokenizer,151669,NCERT - History,5.0624,1.2878,210945.54,0.0,0.8609,594164
qwencode_tokenizer,151669,NCERT - History,5.0624,1.2878,213176.46,0.0,0.8609,594164
qwen_tokenizer,151669,NCERT - History,5.0624,1.2878,214899.19,0.0,0.8609,594164
gemma_tokenizer,255998,NCERT - History,5.1271,1.2715,268712.99,0.0,0.8692,586667
our_tokenizer,131072,NCERT - History,5.1325,1.2702,310796.08,0.0,0.8558,586048
gptoss_tokenizer,200019,NCERT - History,5.1878,1.2566,307424.7,0.0,0.8572,579802
mistral_tokenizer,131072,NCERT - Physics,4.7606,1.2634,337259.48,0.0,0.9017,1289098
olmocode_tokenizer,151669,NCERT - Physics,4.7711,1.2606,239028.18,0.0,0.9004,1286249
qwencode_tokenizer,151669,NCERT - Physics,4.7711,1.2606,243113.84,0.0,0.9004,1286249
qwen_tokenizer,151669,NCERT - Physics,4.7711,1.2606,242712.59,0.0,0.9004,1286249
gemma_tokenizer,255998,NCERT - Physics,4.7833,1.2574,307925.5,0.0,0.91,1282970
our_tokenizer,131072,NCERT - Physics,4.7868,1.2565,343324.87,0.0,0.9006,1282035
gptoss_tokenizer,200019,NCERT - Physics,4.8306,1.2451,331256.5,0.0,0.9024,1270410
mistral_tokenizer,131072,NCERT - Political Science,5.3217,1.2259,312596.39,0.0,0.8803,759776
gemma_tokenizer,255998,NCERT - Political Science,5.3779,1.2131,264934.4,0.0,0.892,751836
olmocode_tokenizer,151669,NCERT - Political Science,5.4423,1.1988,204859.91,0.0,0.882,742934
qwencode_tokenizer,151669,NCERT - Political Science,5.4423,1.1988,207199.5,0.0,0.882,742934
qwen_tokenizer,151669,NCERT - Political Science,5.4423,1.1988,206695.69,0.0,0.882,742934
our_tokenizer,131072,NCERT - Political Science,5.4819,1.1901,319885.74,0.0,0.8783,737576
gptoss_tokenizer,200019,NCERT - Political Science,5.5323,1.1793,307061.93,0.0,0.8804,730859
mistral_tokenizer,131072,NCERT - Psychology,5.5291,1.2067,303767.77,0.0,0.8568,375735
gemma_tokenizer,255998,NCERT - Psychology,5.5409,1.2041,253237.98,0.0,0.8672,374936
olmocode_tokenizer,151669,NCERT - Psychology,5.6192,1.1873,198780.36,0.0,0.8565,369708
qwencode_tokenizer,151669,NCERT - Psychology,5.6192,1.1873,201916.9,0.0,0.8565,369708
qwen_tokenizer,151669,NCERT - Psychology,5.6192,1.1873,204280.89,0.0,0.8565,369708
our_tokenizer,131072,NCERT - Psychology,5.6292,1.1852,312878.14,0.0,0.8559,369054
gptoss_tokenizer,200019,NCERT - Psychology,5.6656,1.1776,298554.26,0.0,0.8575,366683
mistral_tokenizer,131072,NCERT - Science,5.0163,1.2277,314327.67,0.0,0.888,1340946
olmocode_tokenizer,151669,NCERT - Science,5.0359,1.2229,218403.92,0.0,0.8868,1335712
qwencode_tokenizer,151669,NCERT - Science,5.0359,1.2229,220251.55,0.0,0.8868,1335712
qwen_tokenizer,151669,NCERT - Science,5.0359,1.2229,224116.77,0.0,0.8868,1335712
our_tokenizer,131072,NCERT - Science,5.0537,1.2186,323879.23,0.0,0.8868,1331006
gemma_tokenizer,255998,NCERT - Science,5.0759,1.2133,274566.93,0.0,0.901,1325183
gptoss_tokenizer,200019,NCERT - Science,5.096,1.2085,313175.75,0.0,0.8895,1319957
mistral_tokenizer,131072,NCERT - Social Studies,5.2315,1.2402,309929.94,0.0,0.8897,1884396
gemma_tokenizer,255998,NCERT - Social Studies,5.3135,1.2211,265175.77,0.0,0.9038,1855343
olmocode_tokenizer,151669,NCERT - Social Studies,5.3263,1.2181,206003.15,0.0,0.8916,1850868
qwencode_tokenizer,151669,NCERT - Social Studies,5.3263,1.2181,210130.56,0.0,0.8916,1850868
qwen_tokenizer,151669,NCERT - Social Studies,5.3263,1.2181,210508.13,0.0,0.8916,1850868
our_tokenizer,131072,NCERT - Social Studies,5.3604,1.2104,319210.94,0.0,0.8892,1839093
gptoss_tokenizer,200019,NCERT - Social Studies,5.4111,1.199,308069.96,0.0,0.8919,1821861
mistral_tokenizer,131072,NCERT - Socialogy,5.3769,1.2361,324845.02,0.0,0.8764,767660
gemma_tokenizer,255998,NCERT - Socialogy,5.4326,1.2234,269118.76,0.0,0.8878,759788
olmocode_tokenizer,151669,NCERT - Socialogy,5.4756,1.2138,213751.63,0.0,0.8778,753811
qwencode_tokenizer,151669,NCERT - Socialogy,5.4756,1.2138,215290.2,0.0,0.8778,753811
qwen_tokenizer,151669,NCERT - Socialogy,5.4756,1.2138,215643.37,0.0,0.8778,753811
our_tokenizer,131072,NCERT - Socialogy,5.5176,1.2046,332015.92,0.0,0.8748,748076
gptoss_tokenizer,200019,NCERT - Socialogy,5.5607,1.1952,319904.82,0.0,0.877,742287
