merged_token,merged_token_repr,part1,part1_repr,part2,part2_repr,skip_reason,origin_tokenizer,rrf_score
ĠÐ,'ĠÐ',Ġ,'Ġ',Ð,'Ð',failed_filter,gptoss,0.038336689798862546
Ð°,'Ð°',Ð,'Ð',°,'°',failed_filter,gptoss,0.03516444369354931
Ð¾,'Ð¾',Ð,'Ð',¾,'¾',failed_filter,gptoss,0.029883177255973153
Ðµ,'Ðµ',Ð,'Ð',µ,'µ',failed_filter,gptoss,0.02900818368591656
Ð¸,'Ð¸',Ð,'Ð',¸,'¸',failed_filter,gptoss,0.02882630965784715
ÑĤ,'ÑĤ',Ñ,'Ñ',Ĥ,'Ĥ',failed_filter,gptoss,0.026506361950705926
ãĢ,'ãĢ',ã,'ã',Ģ,'Ģ',failed_filter,gptoss,0.026259457684453265
Ð½,'Ð½',Ð,'Ð',½,'½',failed_filter,gptoss,0.02441983785151521
ÑĢ,'ÑĢ',Ñ,'Ñ',Ģ,'Ģ',failed_filter,gptoss,0.02436859774151264
Ñģ,'Ñģ',Ñ,'Ñ',ģ,'ģ',failed_filter,gptoss,0.021189675760203534
ä¸,'ä¸',ä,'ä',¸,'¸',failed_filter,gptoss,0.020901632635487822
Ø§,'Ø§',Ø,'Ø',§,'§',failed_filter,gptoss,0.01870825949487728
ãĢĤ,'ãĢĤ',ãĢ,'ãĢ',Ĥ,'Ĥ',failed_filter,gptoss,0.018645703325474508
Ð»,'Ð»',Ð,'Ð',»,'»',failed_filter,gptoss,0.017258979972578234
<unk>,'<unk>',<unk,'<unk',>,'>',failed_filter,mistral,0.016409061643794406
<s>,'<s>',<s,'<s',>,'>',failed_filter,mistral,0.01640906152181845
</s>,'</s>',</s,'</s',>,'>',failed_filter,mistral,0.01640906127787226
çļ,'çļ',ç,'ç',ļ,'ļ',failed_filter,gptoss,0.014058742786318643
çļĦ,'çļĦ',çļ,'çļ',Ħ,'Ħ',failed_filter,gptoss,0.013944630304897556
äº,'äº',ä,'ä',º,'º',failed_filter,gptoss,0.013828890252305472
Ð²,'Ð²',Ð,'Ð',²,'²',failed_filter,gptoss,0.013252197811698261
ÙĦ,'ÙĦ',Ù,'Ù',Ħ,'Ħ',failed_filter,gptoss,0.013129077530334408
Ðº,'Ðº',Ð,'Ð',º,'º',failed_filter,gptoss,0.013053738264350455
æľ,'æľ',æ,'æ',ľ,'ľ',failed_filter,gptoss,0.012388166647173205
ĠØ,'ĠØ',Ġ,'Ġ',Ø,'Ø',failed_filter,gptoss,0.012291228656262383
Ð´,'Ð´',Ð,'Ð',´,'´',failed_filter,gptoss,0.011451664684110406
Ñĥ,'Ñĥ',Ñ,'Ñ',ĥ,'ĥ',failed_filter,gptoss,0.0112283018776108
åı,'åı',å,'å',ı,'ı',failed_filter,gptoss,0.011101692579315306
ä»,'ä»',ä,'ä',»,'»',failed_filter,gptoss,0.010741255689546857
å¤,'å¤',å,'å',¤,'¤',failed_filter,gptoss,0.010605288984717706
