Tokenizer,Total Vocab,Total Code Tokens,Code %,Keywords,Operators,Brackets,Indentation,Comments,SQL,API,Other Code
qwen,151643,3789,2.5,414,78,102,0,381,309,129,2376
qwencode,151643,3789,2.5,414,78,102,0,381,309,129,2376
olmocode,151643,3789,2.5,414,78,102,0,381,309,129,2376
olmo,100278,3784,3.77,412,78,102,0,381,306,129,2376
gemma,255998,2831,1.11,180,26,27,0,151,145,60,2242
gptoss,199998,1776,0.89,402,76,93,0,285,303,125,492
byted,155121,1497,0.97,331,51,68,0,127,251,98,571
ds,128000,1226,0.96,310,57,54,0,96,241,90,378
mistral,131072,1058,0.81,319,53,56,0,113,244,98,175
dscode,32000,803,2.51,247,37,54,0,34,199,69,163
