Tokenizer,Greek,Kannada,Hebrew,English/ASCII,Byte Fragments,Latin Extended,Whitespace/Control,Tamil,Cyrillic,Numbers,Arabic,Other,Sinhala,Thai,Japanese (Hiragana),Bengali,Malayalam,Whitespace,Odia,Telugu,Punctuation/Symbols,Japanese (Katakana),Chinese,Gujarati,Hindi (Devanagari),Punjabi (Gurmukhi),Korean
byted,1386,233,174,80317,1590,1044,245,368,8439,10,2505,1593,215,496,46,285,285,0,6,297,2952,23,50948,153,525,107,879
dscode,20,0,1,23785,444,148,69,0,1763,10,11,53,0,0,1,0,0,1,0,0,892,0,4802,0,0,0,0
ds,617,82,622,70289,1484,705,157,156,5251,1110,3184,1318,32,1247,540,841,55,0,12,79,3197,248,35277,47,295,35,1120
gemma,1148,136,1279,178445,4727,667,108,306,13040,109,6067,12239,74,1252,2980,256,177,0,69,206,4823,2759,21442,135,1466,122,1966
gptoss,1497,1296,2344,132378,1584,1350,434,961,14148,1110,8034,5873,293,1538,334,2096,1635,10,38,1285,5861,411,7308,1590,3950,301,2339
mistral,1501,557,959,87390,1437,1112,129,525,7654,10,9420,2636,0,562,884,820,376,2,0,900,3752,608,3563,181,1540,148,4406
olmocode,127,25,3160,92430,1457,987,441,28,4122,10,3640,5527,26,2570,1173,44,32,0,7,14,6298,582,25377,16,67,10,3473
olmo,44,0,20,88592,782,410,441,3,729,1110,103,388,0,58,87,6,1,0,0,0,6292,75,833,0,23,0,281
qwencode,127,25,3160,92430,1457,987,441,28,4122,10,3640,5527,26,2570,1173,44,32,0,7,14,6298,582,25377,16,67,10,3473
qwen,127,25,3160,92430,1457,987,441,28,4122,10,3640,5527,26,2570,1173,44,32,0,7,14,6298,582,25377,16,67,10,3473
