Tokenizer,Type,Vocab Size,Tokens > 32 chars,% > 32 chars,English Tokens,English %,Total Indic,Indic %,Hindi,Bengali,Tamil,Telugu,Code Tokens,Code %,JSON Tokens,Function Tokens,Tool/Action Tokens
gemma,BPE,256247,0,0.0,178445,69.71,2873,1.12,1466,256,306,206,2831,1.11,59,118,0
gptoss,BPE,200019,157,0.08,132378,66.19,13152,6.58,3950,2096,961,1285,1776,0.89,169,232,1
byted,BPE,155249,70,0.05,80317,51.78,2259,1.46,525,285,368,297,1497,0.97,120,176,2
qwen,BPE,151669,211,0.14,92430,60.95,243,0.16,67,44,28,14,3789,2.5,182,254,4
qwencode,BPE,151669,211,0.14,92430,60.95,243,0.16,67,44,28,14,3789,2.5,182,254,4
olmocode,BPE,151669,211,0.14,92430,60.95,243,0.16,67,44,28,14,3789,2.5,182,254,4
mistral,BPE,132072,40,0.03,87390,66.67,5047,3.85,1540,820,525,900,1058,0.81,108,181,7
ds,BPE,128818,56,0.04,70289,54.91,1602,1.25,295,841,156,79,1226,0.96,103,175,9
olmo,BPE,100300,211,0.21,88592,88.35,33,0.03,23,6,3,0,3784,3.77,180,243,0
dscode,BPE,32022,22,0.07,23785,74.33,0,0.0,0,0,0,0,803,2.51,58,125,0
