Tokenizer,Total Vocab,English Tokens,English %,Total Indic,Indic %,Hindi (Devanagari),Bengali,Tamil,Telugu,Kannada,Malayalam,Gujarati,Odia,Punjabi (Gurmukhi)
gptoss,199998,132378,66.19,13152,6.58,3950,2096,961,1285,1296,1635,1590,38,301
mistral,131072,87390,66.67,5047,3.85,1540,820,525,900,557,376,181,0,148
gemma,255998,178445,69.71,2873,1.12,1466,256,306,206,136,177,135,69,122
byted,155121,80317,51.78,2259,1.46,525,285,368,297,233,285,153,6,107
ds,128000,70289,54.91,1602,1.25,295,841,156,79,82,55,47,12,35
olmocode,151643,92430,60.95,243,0.16,67,44,28,14,25,32,16,7,10
qwen,151643,92430,60.95,243,0.16,67,44,28,14,25,32,16,7,10
qwencode,151643,92430,60.95,243,0.16,67,44,28,14,25,32,16,7,10
olmo,100278,88592,88.35,33,0.03,23,6,3,0,0,1,0,0,0
dscode,32000,23785,74.33,0,0.0,0,0,0,0,0,0,0,0,0
